"Hugo_Symbol","M1","M2","pval","or","ci.up","ci.low","adjPval"
"TENM2",44,11,0.00304898808933865,2.69930828014104,5.96871262210174,1.32409465932245,0.139939117994192
"ARHGAP33",20,2,0.00307440586103841,6.47578900529903,57.7587947713341,1.54205220083607,0.139939117994192
"DCSTAMP",20,2,0.00307440586103841,6.47578900529903,57.7587947713341,1.54205220083607,0.139939117994192
"EPS8L3",20,2,0.00307440586103841,6.47578900529903,57.7587947713341,1.54205220083607,0.139939117994192
"OR10Z1",20,2,0.00307440586103841,6.47578900529903,57.7587947713341,1.54205220083607,0.139939117994192
"OR2L2",20,2,0.00307440586103841,6.47578900529903,57.7587947713341,1.54205220083607,0.139939117994192
"OR7E24",20,2,0.00307440586103841,6.47578900529903,57.7587947713341,1.54205220083607,0.139939117994192
"RSPH6A",20,2,0.00307440586103841,6.47578900529903,57.7587947713341,1.54205220083607,0.139939117994192
"SEMA3G",20,2,0.00307440586103841,6.47578900529903,57.7587947713341,1.54205220083607,0.139939117994192
"UTP20",20,2,0.00307440586103841,6.47578900529903,57.7587947713341,1.54205220083607,0.139939117994192
"FLRT2",29,5,0.00307866059587223,3.82087773004415,12.892368402728,1.42451874726761,0.139939117994192
"GABRA2",29,5,0.00307866059587223,3.82087773004415,12.892368402728,1.42451874726761,0.139939117994192
"OR11H12",29,5,0.00307866059587223,3.82087773004415,12.892368402728,1.42451874726761,0.139939117994192
"PRAMEF1",29,5,0.00307866059587223,3.82087773004415,12.892368402728,1.42451874726761,0.139939117994192
"SELE",29,5,0.00307866059587223,3.82087773004415,12.892368402728,1.42451874726761,0.139939117994192
"ADAMTS18",60,18,0.00315201778363673,2.30490590817115,4.31226518880898,1.28449444092779,0.141550188571871
"OR51V1",21,2,0.00318550503323389,6.82414435651384,60.8056831083204,1.63491874857902,0.141550188571871
"STAB2",66,21,0.00323780755642602,2.18959498635012,3.93074023302058,1.26115609509649,0.141550188571871
"FAM184A",26,4,0.00326762854672631,4.25755691054003,17.08710686193,1.4414877695791,0.141550188571871
"IGSF21",26,4,0.00326762854672631,4.25755691054003,17.08710686193,1.4414877695791,0.141550188571871
"ABCA10",23,3,0.00329972621299743,4.99332093955122,26.3647460460691,1.47537090453259,0.141550188571871
"FCRL6",23,3,0.00329972621299743,4.99332093955122,26.3647460460691,1.47537090453259,0.141550188571871
"HHIPL2",23,3,0.00329972621299743,4.99332093955122,26.3647460460691,1.47537090453259,0.141550188571871
"NRXN2",23,3,0.00329972621299743,4.99332093955122,26.3647460460691,1.47537090453259,0.141550188571871
"PYHIN1",23,3,0.00329972621299743,4.99332093955122,26.3647460460691,1.47537090453259,0.141550188571871
"DDX60",37,8,0.00330780440662689,3.08899573286948,7.87223523493518,1.37233793001722,0.141550188571871
"SERPINB3",37,8,0.00330780440662689,3.08899573286948,7.87223523493518,1.37233793001722,0.141550188571871
"TRPM2",37,8,0.00330780440662689,3.08899573286948,7.87223523493518,1.37233793001722,0.141550188571871
"EPG5",24,3,0.00340169777944887,5.22967214813767,27.536987375228,1.55287402153336,0.142361801342574
"MYRIP",24,3,0.00340169777944887,5.22967214813767,27.536987375228,1.55287402153336,0.142361801342574
"PLEKHH2",24,3,0.00340169777944887,5.22967214813767,27.536987375228,1.55287402153336,0.142361801342574
"SIRPG",24,3,0.00340169777944887,5.22967214813767,27.536987375228,1.55287402153336,0.142361801342574
"ZNF585A",24,3,0.00340169777944887,5.22967214813767,27.536987375228,1.55287402153336,0.142361801342574
"ERC2",55,16,0.00343903714755544,2.35560474717203,4.56638163615928,1.27594360896219,0.143293214481477
"CD163L1",62,19,0.00359805909443025,2.26203302603325,4.16898695336761,1.27560408537251,0.148028086870685
"COL5A1",62,19,0.00359805909443025,2.26203302603325,4.16898695336761,1.27560408537251,0.148028086870685
"MECOM",68,22,0.00359941979653981,2.15892693616494,3.83098278981182,1.25538950420681,0.148028086870685
"ARPP21",41,10,0.00366384395684261,2.74990913722698,6.33043159881847,1.30945523192334,0.149863617135313
"COL21A1",61,19,0.00367560239921347,2.21595768409524,4.08774857102663,1.24825779972703,0.149863617135313
"MME",34,7,0.00381069420811422,3.2248953478627,8.82131057627118,1.36629814820824,0.154049340328022
"NPAS4",34,7,0.00381069420811422,3.2248953478627,8.82131057627118,1.36629814820824,0.154049340328022
"NLRP5",57,17,0.00393218631623189,2.30307271454887,4.38432054518517,1.26540222051699,0.157619282718156
"PAK5",57,17,0.00393218631623189,2.30307271454887,4.38432054518517,1.26540222051699,0.157619282718156
"PCLO",145,64,0.00403729366417552,1.76692173660025,2.64548779910604,1.18601347398203,0.159465186299061
"AGRN",16,1,0.00417966646194381,10.2676528029132,433.446534641382,1.56792383453896,0.159465186299061
"AKNA",16,1,0.00417966646194381,10.2676528029132,433.446534641382,1.56792383453896,0.159465186299061
"ARHGEF28",16,1,0.00417966646194381,10.2676528029132,433.446534641382,1.56792383453896,0.159465186299061
"C20orf194",16,1,0.00417966646194381,10.2676528029132,433.446534641382,1.56792383453896,0.159465186299061
"CD300A",16,1,0.00417966646194381,10.2676528029132,433.446534641382,1.56792383453896,0.159465186299061
"CNR1",16,1,0.00417966646194381,10.2676528029132,433.446534641382,1.56792383453896,0.159465186299061
"EFCAB13",16,1,0.00417966646194381,10.2676528029132,433.446534641382,1.56792383453896,0.159465186299061
"NFE2",16,1,0.00417966646194381,10.2676528029132,433.446534641382,1.56792383453896,0.159465186299061
"OR52N4",16,1,0.00417966646194381,10.2676528029132,433.446534641382,1.56792383453896,0.159465186299061
"RFPL3",16,1,0.00417966646194381,10.2676528029132,433.446534641382,1.56792383453896,0.159465186299061
"SYT17",16,1,0.00417966646194381,10.2676528029132,433.446534641382,1.56792383453896,0.159465186299061
"XDH",52,15,0.00426513437127793,2.3602684112958,4.67351558177796,1.2569086088096,0.160488797228612
"PKHD1L1",108,43,0.00427314769236722,1.85043285282896,2.88794874789566,1.19879723866708,0.160488797228612
